id,name,kind,female_specific,coverage,format,license,reuse_status,primary_evidence,decision,limitations
hra,HRA 3D Reference Object Library,reference meshes,yes,"female abdomen/pelvis organs; vasculature; adipose; omentum; lymph-node microanatomy",GLB,CC BY 4.0,approved,https://humanatlas.io/3d-reference-library,core,"uneven detail; no stomach in united-female v1.10; no complete abdominal lymphatic network"
vhp-female,NLM Visible Human Female,raw image volume,yes,"whole-body cryosection CT MRI",RAW/CT/MRI,public domain,approved,https://www.nlm.nih.gov/research/visible/visible_human.html,validation-and-slices,"one donor; raw images are not labeled meshes"
amos22,AMOS22,clinical image+labels,mixed cohort,"15 abdominal organs including stomach and uterus/prostate by sex",NIfTI,CC BY 4.0,approved-with-qc,https://zenodo.org/records/7262581,gap-filler,"multi-disease cohort; patient-specific; no ovaries/fallopian tubes/lymphatic network"
healthy-total-body-cts,Healthy-Total-Body-CTs TCIA,clinical segmentation,mixed cohort,"whole-body segmentations and demographics",NIfTI,CC BY 4.0 for segmentations and clinical data,approved-with-qc,https://www.cancerimagingarchive.net/collection/healthy-total-body-cts/,body-context,"source CT is controlled access; grouped labels; reproductive detail not assured"
totalsegmentator,TotalSegmentator,segmentation tool,n/a,"117-class total; abdominal muscles; gated tissue/fat tasks",NIfTI output,"Apache-2.0 for open tasks; separate license for tissue_types/tissue_4_types",conditional,https://github.com/wasserth/TotalSegmentator,pipeline-tool,"task-specific rights; not a medical device; abdominal_muscles only T4-L4 and trained on smaller data"
open3dmodel,Open3Dmodel AnatomyTOOL,reference meshes,partly,"pelvic floor perineum ligaments vessels",interactive/download,CC BY-SA,conditional,https://anatomytool.org/content/open3danatomy-3d-model-pelvic-floor-and-perineum-english-labels,supplement,"share-alike boundary; confirm exact downloadable package and alignment"
bodyparts3d,BodyParts3D,reference meshes,no,"adult male whole-body anatomy",OBJ,CC BY 4.0,approved-as-reference-only,https://dbarchive.biosciencedbc.jp/en/bodyparts3d/download.html,exclude-from-female-core,"official README identifies an adult human male"
dundee-sketchfab,University of Dundee CAHID models,teaching meshes,varies,"pelvic floor ligaments lymphatics and teaching models",Sketchfab download/embedded,varies per model,manual-review,https://sketchfab.com/anatomy_dundee,research-only,"many models are NC NoAI or non-downloadable; license must be checked per asset"
female-reproductive-sketchfab,The Period App female reproductive system,illustrative mesh,yes,"uterus cervix vagina tubes ovaries",Sketchfab download,CC BY,candidate-only,https://sketchfab.com/3d-models/female-reproductive-system-89fbe9c118404161acb3e9c1b427a2c8,visual-benchmark,"high polygon count but no academic provenance or anatomist approval found"
biodigital,BioDigital Human,viewer/service,yes,"interactive anatomy and conditions",viewer/API,proprietary,not-approved,https://www.biodigital.com/,exclude,"free viewing does not grant reusable mesh rights"
zygote,Zygote Female Collection,commercial meshes,yes,"commercial female anatomy",proprietary formats,proprietary,not-free,https://www.zygote.com/,commercial-benchmark,"paid and redistribution-restricted"
